title,genre,total_sales,na_sales,release_date
Fable III,Role-Playing,0.33,0.11,2011-05-17
The Witcher: Enhanced Edition,Role-Playing,0.33,0.32,2008-09-16
Borderlands: The Pre-Sequel,Misc,0.32,0.14,2014-10-14
Dead Space 2,Shooter,0.32,0.13,2011-01-25
XCOM 2,Strategy,0.31,0.12,2015-11-30
Tom Clancy's Rainbow Six: Siege,Shooter,0.3,0.18,2015-12-01
Mass Effect Trilogy,Misc,0.29,0.09,2012-11-06
The Sims 2,Simulation,0.29,0.02,2004-09-14
SimCity 4,Simulation,0.28,0.01,2003-01-12
Need for Speed: Most Wanted,Racing,0.28,0.02,2005-11-15
Assassin's Creed Syndicate,Action,0.26,0.15,2015-11-19
R.U.S.E.,Strategy,0.26,0.04,2010-09-07
Dishonored 2,Action,0.26,0.08,2016-11-10
Total War: Attila,Strategy,0.26,0.11,2015-02-17
Tropico 4,Strategy,0.26,0.1,2011-08-30
LEGO Star Wars III: The Clone Wars,Action,0.25,0.1,2011-03-22
Zoo Tycoon 2: Ultimate Collection,Strategy,0.25,0.04,2008-12-05
The Elder Scrolls IV: Oblivion,Role-Playing,0.25,0.01,2009-07-07
Need for Speed Rivals,Racing,0.25,0.04,2013-11-19
Far Cry: Primal,Action-Adventure,0.25,0.07,2016-03-01
Star Wars Battlefront,Shooter,0.24,0.08,2004-09-20
Homefront,Shooter,0.24,0.11,2011-03-15
Anno 2205,Strategy,0.23,0.04,2015-11-03
DC Universe Online,MMO,0.23,0.16,2011-01-11
Spec Ops: The Line,Shooter,0.23,0.12,2012-06-26
Evolve,Misc,0.22,0.1,2015-02-10
LEGO Harry Potter: Years 5-7,Action,0.22,0.05,2011-11-11
Tom Clancy's Splinter Cell: Blacklist,Action-Adventure,0.21,0.06,2013-08-20
The Lord of the Rings: War in the North,Role-Playing,0.21,0.07,2011-11-01
Fallout 76,Role-Playing,0.21,0.12,2018-11-14
DEFIANCE,Action,0.21,0.14,2013-04-02
FIFA 16,Sports,0.21,0.07,2015-09-22
Total War: Shogun 2 - Fall of the Samurai,Strategy,0.2,0.07,2012-03-23
Titanfall 2,Shooter,0.2,0.06,2016-10-28
Battleborn,Shooter,0.2,0.12,2016-05-03
Need for Speed: Shift 2 Unleashed,Racing,0.19,0.05,2011-03-29
South Park: The Stick of Truth,Role-Playing,0.19,0.07,2014-03-04
Driver: San Francisco,Racing,0.19,0.06,2011-09-27
Call of Duty: WWII,Shooter,0.19,0.07,2017-11-03
Dead Space 3,Shooter,0.19,0.02,2013-02-05
Saints Row IV,Action,0.19,0.11,2013-08-20
Stronghold 3,Strategy,0.19,0.06,2011-10-25
NBA 2K11,Sports,0.19,0.18,2010-10-05
Test Drive Unlimited 2,Racing,0.19,0.05,2011-02-08
Arcania: Gothic 4,Role-Playing,0.18,0.09,2010-10-19
Brink,Shooter,0.18,0.06,2011-05-10
Star Wars Battlefront II,Shooter,0.18,0.03,2005-11-01
Call of Duty: World at War,Shooter,0.18,0.02,2008-11-10
The Secret World,Role-Playing,0.17,0.07,2012-07-03
Age of Empires III: Complete Collection,Strategy,0.17,0.01,2009-09-15
Borderlands,Shooter,0.17,0.01,2009-10-20
Tom Clancy's Ghost Recon: Future Soldier,Shooter,0.17,0.05,2012-05-22
Destiny 2,Shooter,0.16,0.09,2017-10-23
NBA 2K12,Sports,0.16,0.09,2011-10-04
Sid Meier's Civilization IV,Strategy,0.16,0.02,2005-10-25
WildStar,MMO,0.16,0.08,2014-06-03
Just Cause 3,Action-Adventure,0.16,0.03,2015-12-01
Bulletstorm,Shooter,0.16,0.07,2011-02-22
Darksiders,Action,0.15,0.07,2010-09-23
The Sims Medieval: Pirates and Nobles,Simulation,0.15,0.05,2011-08-30
The Darkness II,Shooter,0.14,0.1,2012-02-07
Tropico 5,Simulation,0.14,0.04,2015-01-01
Star Wars: Knights of the Old Republic,Role-Playing,0.14,0.01,2003-11-18
Age of Empires: Collector's Edition,Strategy,0.14,0.02,2000-11-02
Mass Effect: Andromeda,Role-Playing,0.13,0.04,2017-03-21
Red Orchestra 2: Heroes of Stalingrad,Shooter,0.13,0.04,2011-09-13
Call of Duty: Black Ops IIII,Shooter,0.13,0.05,2018-10-12
18 Wheels of Steel: Extreme Trucker 2,Racing,0.13,0.1,2011-01-06
The Stronghold Collection,Strategy,0.13,0.04,2009-10-27
Wasteland 2,Misc,0.13,0.06,2020-12-31
Street Fighter IV,Fighting,0.13,0.07,2009-07-07
Dragon Age Origins: Awakening,Role-Playing,0.13,0.01,2010-03-16
Prototype 2,Action,0.12,0.09,2012-04-24
NBA 2K16,Sports,0.12,0.05,2015-09-29
Rocket League,Sports,0.12,0.03,2015-07-07
Rocksmith,Misc,0.12,0.07,2012-05-13
Call of Juarez: The Cartel,Shooter,0.12,0.05,2011-09-13
Darkspore,Role-Playing,0.11,0.07,2011-04-26
Sonic Generations,Platform,0.11,0.02,2011-11-03
Skylanders: Spyro's Adventure,Action,0.1,0.05,2011-10-16
Assassin's Creed: Rogue,Action,0.1,0.07,2015-03-10
The Book of Unwritten Tales,Adventure,0.1,0.0,2011-10-28
Emergency 2012,Simulation,0.1,0.04,2011-01-05
Harry Potter and the Deathly Hallows - Part 1,Action,0.1,0.08,2010-11-16
