Month,Value,Gain,% Gain
Oct-20,56.4M,-17.4M,-23.60%
Sep-20,73.8M,-10.3M,-12.30%
Aug-20,84.2M,-3.63M,-4.10%
Jul-20,87.8M,+1.26M,1.50%
Jun-20,86.5M,-4.66M,-5.10%
May-20,91.2M,+11.5M,14.40%
Apr-20,79.7M,-16.4M,-17.10%
Mar-20,96.2M,+87.2M,971%
Feb-20,8.98M,-46.4K,-0.50%
Jan-20,9.02M,-8.65M,-48.90%
Dec-19,17.7M,-8.40M,-32.20%
Nov-19,26.1M,+4.21M,19.20%
Oct-19,21.9M,+9.70M,79.80%
Sep-19,12.2M,+9.34M,330%
Aug-19,2.83M,+2.66M,+1.5K%
Jul-19,174K,+173K,+11.5K%
Jun-19,1.5K,-6.6K,-81.40%
May-19,8.1K,-,-
