Month,Average,Gain,% Gain,Peak
Oct-20,3.0K,-450,-12.90%,9.1K
Sep-20,3.5K,"2,985",598%,12.4K
Aug-20,499,445,824%,3.0K
Jul-20,54,40,286%,221
Jun-20,14,1,7.70%,61
May-20,13,5,62.50%,42
Apr-20,8,3,60%,36
Mar-20,5,1,25%,22
Feb-20,4,2,100%,17
Jan-20,2,1,100%,11
Dec-19,1,-,-,5
Nov-19,1,-1,-50%,7
Oct-19,2,-,-,8
Sep-19,2,-1,-33.30%,12
Aug-19,3,1,50%,13
Jul-19,2,1,100%,11
Jun-19,1,-,-,4
May-19,1,-,-,3
Apr-19,1,-,-,3
Mar-19,1,-,-,3
Feb-19,1,-,-,1
Jan-19,1,-,-,2
Dec-18,1,-,-,1
Nov-18,1,-,-,3
